Date,Open,High,Low,Close,Volume
2023-01-12,35.9,36.06,35.62,35.85,56642385
2023-01-13,35.39,36.17,35.26,36.12,65920861
2023-01-17,36.03,36.05,35.77,35.88,65345169
2023-01-18,35.68,35.9,35.18,35.21,53693044
2023-01-19,34.78,34.98,34.56,34.8,61169520
2023-01-20,34.9,35.37,34.745,35.35,42330132
2023-01-23,35.38,35.91,35.265,35.76,44997272
2023-01-24,35.7,35.935,35.3,35.78,34333543
2023-01-25,35.47,36.07,35.455,36.06,38458654
2023-01-26,36.15,36.305,35.905,36.25,29944164
2023-01-27,36.2,36.46,36.15,36.25,30787365
2023-01-30,36.06,36.3299,36.01,36.07,31595005
2023-01-31,36.14,36.57,35.97,36.56,30282099
2023-02-01,36.18,36.88,36.095,36.56,51418673
2023-02-02,36.76,36.805,36.365,36.66,42107281
2023-02-03,36.37,36.9,36.36,36.59,43155021
2023-02-06,36.38,36.59,36.3,36.58,32273606
2023-02-07,36.35,37.1052,36.35,37,33000523
2023-02-08,36.73,37.095,36.68,36.78,34555520
2023-02-09,36.93,37.04,36.29,36.37,44329561
2023-02-10,36.19,36.52,36.07,36.49,28108890
2023-02-13,36.47,36.91,36.44,36.91,32209034
2023-02-14,36.84,37.075,36.48,36.71,33525330
2023-02-15,36.42,36.765,36.37,36.75,28514721
2023-02-16,36.4,36.66,36.31,36.38,34379073
2023-02-17,36.2,36.435,36.09,36.39,35884876
2023-02-21,36.08,36.13,35.475,35.64,36425232
2023-02-22,35.64,35.78,35.41,35.6,31065167
2023-02-23,35.75,35.92,35.3001,35.63,42357613
2023-02-24,35.32,35.77,35.26,35.66,48732617
2023-02-27,35.99,36.05,35.5817,35.65,31664597
2023-02-28,35.7,35.8999,35.61,35.72,32531448
2023-03-01,35.56,35.76,35.46,35.6,32790337
2023-03-02,35.39,35.47,35.01,35.43,38409461
2023-03-03,35.57,36,35.5,35.99,33091585
2023-03-06,36.01,36.245,35.91,36.02,30111132
2023-03-07,35.89,35.92,35,35.09,53804397
2023-03-08,35.05,35.235,34.78,34.96,50860314
2023-03-09,34.76,34.815,33.37,33.54,107108500
2023-03-10,33.145,33.72,32.525,32.93,166569401
2023-03-13,31.76,32.3199,31.365,31.63,165965875
2023-03-14,32.84,32.845,31.87,32.27,128115514
2023-03-15,31.355,31.535,30.96,31.41,132235003
2023-03-16,31.2,32.34,30.9,32.01,134086719
2023-03-17,31.71,31.71,30.895,30.98,136760563
2023-03-20,31.07,31.44,31.02,31.17,75384475
2023-03-21,31.88,32.04,31.81,31.96,115899169
2023-03-22,31.96,32.05,31.2,31.22,67874143
2023-03-23,31.28,31.6,30.79,31.01,82366321
2023-03-24,30.63,31.02,30.39,30.99,76647535
