Date,Open,High,Low,Close,Volume
2023-01-12,63.2936,63.9536,62.5207,63.6655,15695120
2023-01-13,63.0639,63.9386,62.9166,63.8467,10375581
2023-01-17,63.7579,64.5117,63.68,64.1358,10654106
2023-01-18,64.4972,64.8397,63.2691,63.3075,14241205
2023-01-19,62.8138,63.1663,62.3395,62.5692,14965843
2023-01-20,62.8822,64.309,62.657,64.2621,14437360
2023-01-23,64.5212,66.1023,64.3749,65.7249,23987078
2023-01-24,65.3539,65.9456,65.2556,65.6949,12851163
2023-01-25,64.5851,65.7249,63.983,65.5586,14656479
2023-01-26,66.2002,66.6355,65.5152,66.6055,11406251
2023-01-27,66.1862,67.3539,66.1562,66.8841,13846134
2023-01-30,66.1173,66.4059,65.5511,65.6086,9918534
2023-01-31,65.6086,66.5521,65.5636,66.5227,9065949
2023-02-01,66.4742,68.632,66.1562,68.0888,19265742
2023-02-02,69.2535,70.3399,68.936,69.947,19236416
2023-02-03,68.7438,70.5006,68.642,69.3654,16499009
2023-02-06,68.597,69.1352,68.259,68.5191,13261745
2023-02-07,68.622,70.4957,68.592,70.2306,16052250
2023-02-08,70.3688,70.7458,69.2436,69.3848,12852594
2023-02-09,70.4567,70.574,68.7293,69.0029,12900572
2023-02-10,68.4892,68.921,68.0349,68.6859,10077599
2023-02-13,68.9555,70.0269,68.9111,69.8746,8596099
2023-02-14,69.5466,70.5695,69.1108,70.1721,12898445
2023-02-15,69.7473,70.5056,69.581,70.5006,10722304
2023-02-16,69.4777,70.2655,69.2246,69.2775,13286101
2023-02-17,68.7828,68.8616,67.8142,68.4118,10839030
2023-02-21,67.4962,67.9021,66.7259,66.7863,12546672
2023-02-22,66.9236,67.2271,66.3709,66.6894,14652488
2023-02-23,67.931,68.0499,66.8407,67.7947,13407834
2023-02-24,66.5906,66.8746,66.2002,66.5861,14661885
2023-02-27,67.2571,67.6,66.8212,66.9435,9594653
2023-02-28,66.7284,67.4423,66.6105,66.7963,10716013
2023-03-01,66.8257,66.9336,66.1023,66.307,15399466
2023-03-02,66.1263,67.3344,66.0129,67.1243,11211603
2023-03-03,67.5551,68.5701,67.4912,68.5676,14755986
2023-03-06,69.0074,69.8307,68.8392,68.8961,16349712
2023-03-07,68.8417,69.1058,67.8686,68.0399,14429428
2023-03-08,68.279,68.6859,67.8786,68.602,13537138
2023-03-09,68.7099,69.4827,67.4862,67.6185,15966866
2023-03-10,67.5212,67.6894,66.1662,66.4298,31226188
2023-03-13,66.0129,67.7169,65.6036,66.7913,35193931
2023-03-14,67.6525,68.5726,67.3739,68.3334,21666560
2023-03-15,67.5851,68.4552,67.2546,68.3724,23565192
2023-03-16,68.1327,70.3878,67.9071,70.2905,26660609
2023-03-17,70.4273,71.0343,69.7812,70.1916,23584637
2023-03-20,70.0683,70.4697,69.5436,70.3808,12217164
2023-03-21,70.7637,71.0768,70.0264,70.95,13323274
2023-03-22,70.95,72.3623,70.2041,70.2435,14504133
2023-03-23,71.1412,72.3528,70.7148,71.3863,17941736
2023-03-24,71.1611,71.607,70.6904,71.5725,12108870
2023-03-27,71.6814,71.926,70.8516,71.0194,11023112
2023-03-28,70.8965,70.9215,70.0458,70.6854,10163978
2023-03-29,71.5725,72.3284,71.4702,72.1661,14536858
2023-03-30,72.8336,73.1082,72.5141,73.0049,11422647
2023-03-31,72.9165,74.1152,72.8236,74.0493,15366024
2023-04-03,73.5985,74.0348,73.2455,73.9314,21557755
2023-04-04,74.0398,74.2944,73.2505,73.5251,16135830
2023-04-05,73.1761,73.2455,72.1611,72.6863,16046946
2023-04-06,72.1561,73.1911,71.8421,73.0982,16004583
2023-04-10,72.3723,73.0732,71.9754,73.0583,9704275
2023-04-11,72.931,72.9409,72.2495,72.3723,13001463
2023-04-12,72.8631,73.0583,71.8401,71.9604,13495975
2023-04-13,72.2395,73.4117,72.1222,73.2989,13909981
